,"CD_i_SIG","CD_i_TILE","CD_ni_SIG","CD_ni_TILE","Ctrl_ni_SIG","Ctrl_ni_TILE","DC_i_SIG","DC_i_TILE","DC_ni_SIG","DC_ni_TILE","UC_i_SIG","UC_i_TILE","UC_ni_SIG","UC_ni_TILE"
3615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246213,0,1,0,1,0,1,0,1,0,1,0,1,0,1
51268,0,1,0,1,0,1,0,1,0,1,0,1,0,1
22928,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166012,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339221,0,1,0,1,0,1,0,1,0,1,0,1,0,1
2131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6546,0,1,0,1,0,1,0,1,0,1,0,0,0,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4166,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7378,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29796,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,1,0,1,0,1,0,1,0,1,0,1,0,1
8398,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8694,0,1,0,1,0,1,0,1,0,1,0,1,0,1
377677,0,0,0,1,0,1,0,0,0,1,0,0,0,1
122622,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27124,0,0,0,1,0,1,0,0,0,1,0,0,0,1
5833,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8529,0,1,0,1,0,1,0,1,0,1,0,1,0,1
66002,0,0,0,1,0,1,0,0,0,1,0,0,0,1
4051,0,1,0,1,0,1,0,0,0,1,0,1,0,1
5138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5333,1,0,1,0,1,0,1,0,1,0,1,0,1,0
957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2650,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1806,0,1,0,1,0,1,0,1,0,1,0,1,0,1
4128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51703,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6799,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6583,0,1,0,1,0,1,0,1,0,1,0,1,0,1
5265,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1555,0,1,0,1,0,1,0,1,0,1,0,1,0,1
81031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142680,0,1,0,1,0,1,0,1,0,1,0,1,0,1
2710,0,1,0,1,0,1,0,1,0,1,0,1,0,1
259230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8528,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3283,0,1,0,1,0,1,0,1,0,1,0,1,0,1
129807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10554,0,1,0,1,0,1,0,0,0,1,0,1,0,1
84912,0,1,0,0,0,1,0,1,0,1,0,1,0,1
57194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2878,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2592,0,0,0,1,0,1,0,0,0,1,0,0,0,1
65010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4830,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84129,0,0,0,1,0,1,0,0,0,1,0,0,0,1
358,0,0,0,1,0,1,0,0,0,1,0,0,0,1
257068,0,0,0,1,0,1,0,0,0,1,0,0,0,1
57026,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54576,0,0,0,1,0,1,0,0,0,1,0,0,0,1
95,0,1,0,1,0,1,0,1,0,1,0,1,0,1
1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57733,0,1,0,1,0,1,0,1,0,1,0,1,0,1
8972,0,1,0,1,0,1,0,1,0,1,0,1,0,1
